id_user,username,fullname,biography,is_private,is_verified,follower_count,following_count,media_count,like_count(last10post),comment_count(last10post),last_post,last_post_interval(days),last_story,last_story_interval(hours)
1918078581,raffinagita1717,Raffi Ahmad and Nagita Slavina,"(business : ransdigital.id@gmail.com)
Dengerin lagu spesial untuk Rafathar dan Rayyanza disini 👇👇",False,True,67300238,5683,18662,1947155,11949,2023-02-24 12:04:01+07:00,0.0,2023-02-24 16:02:10+07:00,0.0
522969993,ayutingting92,Ayu Tingting,"Check my new product ""@hwasahan.id""
Endorsement @sacmanage CP : 087876734391 | 👩‍👧singer  
Youtube Channel Bunda dan Bilqis",False,True,54055703,1382,11774,367625,4336,2023-02-24 09:25:27+07:00,0.0,2023-02-24 15:36:22+07:00,0.0
225064794,prillylatuconsina96,Prilly Latuconsina,@rebelprincess.id @nonajudesss @bumbunona @slimilly_byprillylatuconsina @ily.gold @beforeafterme @nonapicknick  @sinemaku.pictures @yukgroup,False,True,51287547,2492,6705,1617463,6714,2023-02-23 12:15:46+07:00,1.0,2023-02-24 15:59:57+07:00,0.0
2993265,laudyacynthiabella,Laudya Cynthia Bella,"MasyaALLAH Tabarakallah 💕
Managed by Admin & Bella
@alfazzasublimationprinting
💌 lcbella.management@gmail.com",False,True,38460524,3009,369,347244,2348,2023-02-15 19:59:13+07:00,8.0,2023-02-24 14:29:50+07:00,1.0
3261799,gisel_la,Gisella Anastasia,"@madame.gie @gofyber @ropangbro.express @tedu.disini @rakoes.indonesia || 
👇Happy birthday, Gem. We love you 😍❤️",False,True,37934940,4297,10274,639239,2204,2023-02-24 14:50:57+07:00,0.0,2023-02-24 13:08:26+07:00,3.0
1948416,lunamaya,Luna Maya,"Queen of the Moon 👑🌙 
Founder of @namabeauty.co @tsmediaid @lunahabit 
BA @bni46 @havaianas.indonesia @mariseruput @jcb_indonesia",False,True,36599977,2112,4207,328745,5378,2023-02-23 17:14:57+07:00,0.0,2023-02-24 14:00:06+07:00,2.0
8115577,raisa6690,,"@juni_records / @officialrainebeauty 
I just snap what I like, hope that's interesting enough for u to follow 😊",False,True,35445558,1711,4306,647077,9675,2023-02-23 14:20:30+07:00,1.0,2023-02-24 14:08:23+07:00,2.0
305384601,viavallen,Via Vallen,"I am no longer with Ascada since last year
For any business that has existed before, please contact Shelly +6281333390229
BC Off Air : +6281235443200",False,True,27951196,354,524,1177553,8391,2023-02-17 17:18:14+07:00,6.0,2023-02-24 03:31:24+07:00,12.0
5735890,chelseaoliviaa,Chelsea Olivia Wijaya,"Indonesian Celebrity • 
@glennalinskie 💍 • 👧🏻@nastusha.olivia.alinskie 👦🏻 @dante.oliver.alinskie 
Email : Business@alinskie.family
-Mrs.Alinskie-",False,True,28351025,876,3504,235157,1077,2023-02-23 19:44:59+07:00,0.0,2023-02-24 15:04:24+07:00,1.0
25980770,raditya_dika,Raditya Dika,"For business inquiries email to: management@radityadika.com.
@traveloka's Accommodation Ambassador",False,True,21092511,503,5677,869470,5392,2023-02-23 20:35:21+07:00,0.0,2023-02-24 16:06:54+07:00,0.0
51245593696,denisechariesta91,Denise Chariesta,pembela kebenaran keadilan wa:081991991992 @fleurdedc @coffee.dc @athena_jakartautara @goddesskin_beauty @gladiatorcoffee.id. @mustzlm.official,False,False,639462,14,838,55098,1457,2023-02-24 15:53:32+07:00,0.0,2023-02-24 16:13:40+07:00,0.0
624435843,pinkan_mambo,Pinkan Mambo,"Wa Show & Endorse /bussiness. Hub Pm office wa  082120081181 . Artist ,enterpreneur, evangelist.",False,True,303344,414,2433,22114,4047,2022-12-26 08:54:46+07:00,60.0,2023-02-24 00:30:13+07:00,15.0
288615624,rizkybillar,Muhammad Rizky Billar,"@leslar_entertainment  
@leslarmetaverse  
@rajasei 
@leslarseriesminigold
@mrbclothingline",False,True,12653904,876,485,4367550,96195,2023-02-21 16:54:26+07:00,2.0,2023-02-23 17:41:30+07:00,22.0
1542976680,lestykejora,Lestikejora,"@ldaily.id  @purnamabeautyofficial 
BA @msglowbeauty 
@leslar_entertainment 
 Manager @riffyfie : +628568972539 (WA only)",False,True,27059994,2591,978,4430768,49767,2023-02-24 14:04:50+07:00,0.0,2023-02-23 23:04:13+07:00,17.0
5756510,baimwong,Baim Wong,"Jangan Lelah Untuk Berbagi 
Sayang Kalian Semua
-
CP: 082140020331 - Genta
-
YOUTUBE ⤵️ ⤵️",False,True,17635487,2532,4187,817688,7452,2023-02-24 14:49:52+07:00,0.0,2023-02-24 10:54:34+07:00,5.0
50104276,paula_verhoeven,Paula Verhoeven Wong,"Public Figure
Mom of
@kianotigerwong
@kenzoeldragowong ❤️
CP : 081779021513
TikTok: Paula Verhoeven | 🛒: Lapak Mamapau
YOUTUBE BAIMPAULA ⬇️",False,True,5976022,2564,1692,684120,3114,2023-02-23 16:28:06+07:00,0.0,2023-02-24 15:07:10+07:00,1.0
234085386,ybrap,yb,"@weird.genius 
@yb_lab
@ybgocom",False,True,5586799,669,145,1281026,23441,2023-02-22 17:23:58+07:00,1.0,2023-02-24 13:27:07+07:00,2.0
23400298572,nikitamirzanimawardi_172,Nikita Mirzani 🌹,BA selamanaya @beningsclinic_jakarta @nikitamirzaniskincare @nikitamirzanilips @nikitaslim.id @zoalpajamas @beautyhouseheadtotoe.official,False,True,9750252,67,296,439979,14179,2023-02-24 11:22:09+07:00,0.0,2023-02-24 11:16:27+07:00,5.0
24239929,princessyahrini,SYAHRINI,,False,True,41845194,756,4628,188237,47,2023-02-23 17:11:44+07:00,0.0,2023-02-24 16:14:08+07:00,0.0
563409528,syauqikhosyi,Syauqi Khosyi,,False,False,630,813,6,657,51,2022-11-06 17:16:32+07:00,109.0,2023-02-23 23:38:34+07:00,16.0
1382888167,ester_febiola,Ester Febiola,🌼🍀,False,False,1338,1124,0,0,0,,,,
1368990914,sandrinanajwa,Sandrina Najwa,,False,False,754,570,0,0,0,,,,
1705712320,bresciaaydna,ᴅɪɴᴀ,YOLO,False,False,1026,1899,8,-8,281,2023-01-26 18:18:08+07:00,28.0,,
3207598639,rizky_ade24,Rizky Ade II,,True,False,226,391,1,0,0,,,,
4758588217,ameliyah_rskyh,Ameliyah Riskiyah,"aeri's
🦊💎🌱
@baekhyunee_exo",True,False,235,290,0,0,0,,,,
2248835396,sugab.3gp,bagus adi prayoga,iru <3,False,False,544,921,3,168,22,2023-02-16 11:37:23+07:00,8.0,,
286877006,jasmineakh,jasmine avrile,,False,False,3141,1911,3,992,43,2022-08-18 15:45:27+07:00,190.0,,
1994265742,raflyqowi,qowi,hunnn,True,False,949,595,0,0,0,,,,
3481509055,dwiahmadza,Dwi Ahmad Dzulhijjah,"(Lifelong learner)
Portofolio : @dwiahmad_dz
__________________",False,False,2319,2172,46,2828,246,2022-07-27 11:35:22+07:00,212.0,,
1908920707,mriaps,Muhammad Rio Apriansah,"UMN '20'
Basic.",False,False,1174,762,3,186,9,2020-07-06 20:06:29+07:00,962.0,,
1686914046,musfirotul_,ra.,,True,False,1035,702,1,0,0,,,,
52358146457,mjji.bri.ll,Bri,,False,False,66,62,16,187,28,2023-02-23 09:09:21+07:00,1.0,,
58001969444,yudisghifari,yudis ghifari,Akun lama suspend,False,False,73,120,1,26,0,2023-02-14 11:19:06+07:00,10.0,,
598772637,azalia_tambunan,Azalia M.S. Tambunan,Just a girl having fun in the big big world,False,False,793,792,7,1204,48,2023-02-21 17:13:54+07:00,2.0,,
1255561290,nzhf.idzthr,Nazhiifah Nawaal,Al-'Araf:199✨,False,False,915,1011,3,134,1,2023-02-06 20:20:38+07:00,17.0,,
2248538523,hasnabila00,Nabilah Hasna,"Faculty of Psychology 
Padjadjaran University",False,False,211,285,3,123,8,2021-07-06 21:07:48+07:00,597.0,,
8522446171,llfdlh2,llfdlh,,False,False,384,376,18,334,13,2023-01-03 01:13:52+07:00,52.0,,
1519756238,andirayunitha,Andira Yunita,,False,False,2927,2015,15,2352,169,2023-01-17 20:00:30+07:00,37.0,,
1942891275,adnmhrn_,Dinda Maharani,,False,False,557,337,0,0,0,,,,
4755465472,uenomeaneo,,,True,False,503,432,2,0,0,,,,
1536392493,salsakhayyira,salsiii,"もう森へ帰ろうか ?
街には何もなかった. 
DKV TelU 20’",False,False,529,444,17,1300,93,2021-11-05 07:55:02+07:00,476.0,,
1276944323,athaliapuspa,Athalia,,True,False,811,643,0,0,0,,,,
37701555870,intanmdnu,🌊,reborn,True,False,167,216,0,0,0,,,,
2109551495,bintangagastiya_,Bintang Agastiya,what should I put here?,False,False,2540,816,0,0,0,,,,
1712942455,rizkyagustisap,Aulia Rizky Agusti Saputri,,False,False,1694,1189,16,2314,84,2023-01-23 19:07:30+07:00,31.0,,
2879889275,amandaptrya,𝓐𝓶𝓪𝓷𝓭𝓪 𝓟𝓾𝓽𝓻𝓲𝔂𝓪𝓷𝓽𝓲,Thinking of you.,True,False,907,890,1,0,0,,,,
3064853276,ahsnul.q,ahsanul haq,"Part of @forpeople.id
✍ Collabs with me just DM",True,False,733,516,10,0,0,,,,
1489315478,divathayeb,Diva Salsabila,@_divaat,True,False,1626,1303,32,0,0,,,,
9931640017,vatwatlmr,𝑽𝒂𝒕𝒘𝒂𝒕𝒖𝒍 𝑴𝒖𝒕𝒊𝒂 𝑹𝒂𝒉𝒎𝒂𝒕,📍Karawang-Purbalingga,False,False,598,548,0,0,0,,,,
18789452458,ashyep_,,Akun first ke hack🙁,True,False,169,183,3,0,0,,,,
1570222727,retnowynti,Retno Wijayanti,,True,False,936,621,0,0,0,,,,
3654850700,fathonizkr,,u dunno me,False,False,876,780,9,-9,55,2022-11-21 22:18:29+07:00,94.0,,
2271037529,smrmendem,Dimas Adi,A long way up to the summit.,False,False,118,80,4,32,8,2023-01-13 19:13:28+07:00,41.0,,
5371286272,hafifarhans,De_Farhana,"🥈I want to be useful with all of them aamiin🥺
🥇Everything is Allah
My Web (Portofolio)
🔻🔻🔻🔻🔻🔻",False,False,407,639,33,859,91,2022-01-19 12:18:28+07:00,401.0,,
7737040222,nandi_ir,Nandi Irawan,,True,False,228,362,3,0,0,,,,
3101437999,mochilhamsyah_,heuh hayoh,,True,False,566,625,3,0,0,,,,
